Rowid,Country,State lgd code,State,District lgd code,District,Year,Households that applied for a job card,Job cards issued,Job cards issued for scheduled caste,Job cards issued for scheduled tribes,Job cards issued for non scheduled tribes or scheduled caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster rolls filled,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Households that reached a 100 day limit,Persons with disability,Non scheduled tribes or scheduled caste houeholds that worked,Total person days worked by non scheduled tribes or scheduled caste persons.,Scheduled caste houeholds that worked,Total person days worked scheduled caste persons,Scheduled tribe houeholds that worked,Total person days worked scheduled tribe persons,Households that worked on land reform or indira awas yojana,Total person days worked by women,Total person days,Scheduled caste households that reached a 100 day limit,Scheduled tribe households that reached a 100 day limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under mahatma gandhi national rural employment guarantee act (mgnrega),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts
1,India,1,Jammu And Kashmir,1,Anantnag,2011-12,54411,39369,27,3257,36085,25226,55222,25098,54938,5100,24484,53337,939,19,22289,1057941,18,1027,2177,85060,250,331588,1144028,0,55,1087.270,1073.890,1344.510,1489.250,5449.280,27954,40666,27093,13573,71303212,5875,3264,2611,20954501
2,India,1,Jammu And Kashmir,1,Anantnag,2012-13,67486,55717,30,3820,51867,34569,76605,34380,76096,8942,33738,74034,1702,21,31394,1582363,10,430,2334,97881,349,505959,1680674,0,56,2104.730,1660.000,2111.300,1666.830,839137.360,40190,74081,68437,5644,123892241,2864,1674,1190,8005814
3,India,1,Jammu And Kashmir,1,Anantnag,2013-14,72022,60807,34,3917,56856,38214,66308,38188,66220,13631,34576,57954,1726,26,32889,1407181,21,652,1666,61958,315,365371,1469791,2,36,1901.700,1227.560,1960.410,1292.320,85017.530,36299,84805,79041,5764,185087705,2585,1531,1054,991848
4,India,1,Jammu And Kashmir,1,Anantnag,2014-15,79197,74665,33,4851,69781,21501,36724,21478,36676,6844,17667,28779,242,13,16957,484883,7,210,703,20781,110,127059,505874,0,7,739.090,1040.930,767.270,1066.450,6967.180,19485,116182,110495,5687,70248477,2325,1469,856,121787
5,India,1,Jammu And Kashmir,1,Anantnag,2015-16,91509,86636,37,4976,81623,54947,118467,54939,118339,25124,49756,101614,2921,57,47529,2341948,24,1181,2203,98898,418,700842,2442027,1,84,2358.250,2161.000,2365.920,2186.140,2237866.000,49481,167455,161638,5817,228564362,1892,1408,484,664223
6,India,1,Jammu And Kashmir,1,Anantnag,2016-17,91631,87600,33,4768,82799,47636,102433,47623,102411,14667,42776,87052,892,64,41326,2026537,10,410,1440,61898,274,614857,2088845,0,17,2865.670,2360.840,2870.590,2394.130,627187.820,31906,169927,168816,1111,205101041,1,1,0,0
7,India,1,Jammu And Kashmir,1,Anantnag,2017-18,95866,92541,33,4728,87780,67674,145800,67657,145712,32129,63409,127924,4993,98,60921,4027636,23,1141,2465,149884,415,1381666,4178661,0,108,6824.830,2952.160,6944.820,4958.660,136750.260,40854,202907,202037,870,557016402,1,1,0,0
8,India,1,Jammu And Kashmir,1,Anantnag,2018-19,102984,99887,48,4987,94852,78575,166193,78535,166046,33312,73895,147864,8236,144,70972,5172053,24,1433,2899,193069,483,1807588,5366555,3,155,5400.600,3240.470,5534.250,3272.760,30055.550,43946,210086,209828,258,520269577,1,1,0,0
9,India,1,Jammu And Kashmir,1,Anantnag,2019-20,102924,100170,0,5062,95108,57474,107524,57461,107482,15418,47306,82773,393,83,45061,1920689,0,0,2245,92852,0,706176,2013541,0,0,7708.050,2877.500,7756.120,2902.450,39306.990,66182,211900,211483,417,689244786,1,1,0,0
10,India,1,Jammu And Kashmir,1,Anantnag,2020-21,105521,101238,0,5176,96062,70127,138031,70040,137787,37462,65731,121554,2793,132,62664,4024422,0,0,3067,186065,0,1458645,4210487,0,0,11732.460,3103.570,11814.560,3768.760,44433.190,66453,211305,210939,366,1120193249,1,1,0,0
11,India,1,Jammu And Kashmir,2,Budgam,2011-12,45204,40914,98,1140,39676,20294,26839,20263,26797,7971,20163,26642,850,14,19729,723722,25,883,409,20834,102,46391,745439,0,32,872.480,1102.260,890.290,1181.620,4670.030,12814,28983,25902,3081,50737128,2084,1814,270,5401390
12,India,1,Jammu And Kashmir,2,Budgam,2012-13,56341,52399,123,1161,51115,30461,40046,30352,39859,15262,29991,39327,1906,41,29461,1351742,46,2204,484,22737,167,97181,1376683,2,44,1620.370,2016.290,1633.770,2019.230,2110064.460,26950,48846,46455,2391,124639621,242,240,2,384506
13,India,1,Jammu And Kashmir,2,Budgam,2013-14,60526,55846,68,1271,54507,37725,44821,37692,44777,15781,31442,36686,1304,17,30985,1283655,24,885,433,15864,157,63283,1300404,3,11,1641.790,1659.340,1687.000,1679.930,2574401.820,31286,54133,51991,2142,155058635,9,9,0,9249
14,India,1,Jammu And Kashmir,2,Budgam,2014-15,61066,58594,65,1284,57245,20456,23776,20423,23713,6117,14876,16829,145,3,14653,403177,8,188,215,7556,67,25286,410921,0,0,587.900,1032.470,611.050,1064.410,6556431.760,20670,58025,55984,2041,58155180,8,8,0,0
15,India,1,Jammu And Kashmir,2,Budgam,2015-16,64350,61462,67,1297,60098,32971,40321,32952,40291,10942,26780,31857,335,14,26290,896211,24,650,466,17754,127,49494,914615,0,10,1120.870,1776.270,1130.310,1786.390,17875829.060,40416,60938,59447,1491,103567363,9,9,0,0
16,India,1,Jammu And Kashmir,2,Budgam,2016-17,60890,58171,61,1141,56969,28154,34688,28143,34675,8148,22748,27310,233,10,22353,778197,9,322,386,14622,113,46381,793141,0,7,1127.510,657.480,1137.320,704.150,19250395.060,21713,64656,64055,601,100935879,4,4,0,0
17,India,1,Jammu And Kashmir,2,Budgam,2017-18,64771,61567,62,1222,60283,41837,52870,41825,52855,19027,35814,43691,1000,22,35200,1652382,38,2074,576,26882,176,117190,1681338,1,25,2558.770,1137.720,2596.740,1462.870,10412350.260,28945,71529,71437,92,216036920,4,4,0,0
18,India,1,Jammu And Kashmir,2,Budgam,2018-19,67250,63951,64,1239,62648,36269,45051,36250,45029,14186,29812,35826,894,16,29327,1350186,34,2027,451,17873,110,114410,1370086,1,20,2024.700,1365.450,2047.610,1611.580,7286147.800,28056,74413,74311,102,198115302,3,3,0,0
19,India,1,Jammu And Kashmir,2,Budgam,2019-20,69156,65704,37,1267,64400,32129,39543,32106,39511,10168,24698,29426,140,20,24352,799782,32,909,314,9909,0,71028,810600,0,0,2192.500,975.730,2199.160,1003.010,114889.610,33183,80029,79908,121,204163946,4,4,0,0
20,India,1,Jammu And Kashmir,2,Budgam,2020-21,72412,66863,41,1286,65536,36441,45959,36317,45794,18124,31348,38568,375,30,30860,1302458,28,1342,460,18339,0,135179,1322139,0,0,3761.530,1395.950,3789.510,1531.930,116177.810,36695,80209,80088,121,363521665,4,4,0,0
21,India,1,Jammu And Kashmir,3,Baramulla,2011-12,74828,67717,94,1400,66223,36967,53878,36782,53641,19170,36535,53200,3446,44,35762,1839669,61,3171,712,39527,327,218567,1882367,10,99,2127.380,1904.030,2217.400,2176.750,9547.960,26033,60712,52707,8005,122394982,1185,1122,63,2654117
22,India,1,Jammu And Kashmir,3,Baramulla,2012-13,89077,83112,107,1869,81136,56641,87260,56564,87109,32569,56028,86315,7794,54,54588,3334917,75,6368,1365,101012,396,404679,3442297,35,452,4186.270,3472.260,4190.520,3484.390,18306.020,54856,94816,88060,6756,339209697,507,473,34,989359
23,India,1,Jammu And Kashmir,3,Baramulla,2013-14,92539,86162,112,2204,83846,54888,79561,54824,79415,22870,48057,67600,1647,38,46766,1841472,54,1532,1237,42391,305,227529,1885395,0,13,2705.150,2274.980,2733.410,2315.620,2020271.780,63934,104319,98169,6150,261381117,432,398,34,179521
24,India,1,Jammu And Kashmir,3,Baramulla,2014-15,96538,91794,116,2279,89399,32207,43961,32156,43884,9056,25003,33195,280,19,24334,697514,48,1147,621,16567,94,98107,715228,0,3,966.620,1005.500,975.880,1045.370,1318128.490,32820,115170,109253,5917,97046498,410,378,32,18968
25,India,1,Jammu And Kashmir,3,Baramulla,2015-16,99392,94139,115,2304,91720,50761,74153,50734,74100,22968,44434,63231,1029,31,43263,1621840,61,2253,1110,41311,267,239946,1665404,0,24,2181.330,1712.280,2186.810,1752.500,1337702.230,58711,122171,117082,5089,206391943,304,282,22,67481
26,India,1,Jammu And Kashmir,3,Baramulla,2016-17,93667,88608,112,2094,86402,41805,60001,41774,59948,16853,34865,48547,441,21,33955,1295321,51,1782,859,31748,168,186061,1328851,0,9,2100.820,1227.630,2103.260,1262.980,1429648.280,36702,104632,103105,1527,173795308,148,134,14,23327
27,India,1,Jammu And Kashmir,3,Baramulla,2017-18,93235,87813,114,2049,85650,45524,67786,45496,67739,22135,38890,55341,914,32,38016,1717191,40,1610,834,34470,243,254158,1753271,0,11,3304.010,1410.080,3326.510,2478.980,123300.700,27509,113202,112997,205,273908017,56,56,0,5793
28,India,1,Jammu And Kashmir,3,Baramulla,2018-19,94112,88819,112,2038,86669,42791,63273,42783,63253,19898,36119,51509,948,35,35261,1657642,50,1872,808,35952,218,266398,1695466,0,8,1953.120,897.870,1968.060,930.850,2012770.570,24693,116659,116590,69,187873524,52,52,0,0
29,India,1,Jammu And Kashmir,3,Baramulla,2019-20,95040,90123,34,3159,86930,37324,53144,37304,53111,8432,21256,28199,63,30,20615,554371,9,182,632,12849,0,81092,567402,0,0,2627.240,764.500,2634.190,767.170,2014739.390,42889,120020,119866,154,242711859,40,40,0,0
